transaction_id,card_last4,transaction_datetime,amount_in_inr,merchant_name,merchant_category,merchant_city,state,channel,is_international,is_chip_used,customer_id,customer_age_group,is_fraud
TXN001,4582,2024-01-15 10:30:00,2500.00,Flipkart,Online Shopping,Mumbai,Maharashtra,Online,False,False,CUST001,26-35,0
TXN002,7821,2024-01-15 14:45:00,45000.00,Croma Electronics,Electronics,Delhi,Delhi,POS,False,True,CUST002,36-45,1
TXN003,3456,2024-01-15 02:15:00,8500.00,Amazon India,Online Shopping,Bengaluru,Karnataka,Online,False,False,CUST003,18-25,1
TXN004,9012,2024-01-16 09:00:00,1200.00,Indian Oil,Fuel,Chennai,Tamil Nadu,POS,False,True,CUST004,26-35,0
TXN005,5678,2024-01-16 11:30:00,3500.00,Zomato,Food,Hyderabad,Telangana,Online,False,False,CUST005,18-25,0
TXN006,2345,2024-01-16 23:45:00,75000.00,International Store,Electronics,Singapore,International,Online,True,False,CUST006,36-45,1
TXN007,8901,2024-01-17 08:20:00,850.00,Cafe Coffee Day,Food,Pune,Maharashtra,POS,False,True,CUST007,18-25,0
TXN008,6789,2024-01-17 15:10:00,28000.00,Vijay Sales,Electronics,Mumbai,Maharashtra,POS,False,True,CUST008,46-55,0
TXN009,1234,2024-01-17 01:30:00,55000.00,Unknown Merchant,Online Shopping,Kolkata,West Bengal,Online,False,False,CUST009,26-35,1
TXN010,4567,2024-01-18 12:00:00,4500.00,Big Bazaar,Retail,Ahmedabad,Gujarat,POS,False,True,CUST010,36-45,0
TXN011,7890,2024-01-18 16:30:00,15000.00,MakeMyTrip,Travel,Jaipur,Rajasthan,Online,False,False,CUST011,26-35,0
TXN012,2468,2024-01-18 03:00:00,32000.00,Foreign Website,Online Shopping,London,International,Online,True,False,CUST001,26-35,1
TXN013,1357,2024-01-19 10:15:00,6800.00,Reliance Digital,Electronics,Lucknow,Uttar Pradesh,POS,False,True,CUST012,46-55,0
TXN014,9876,2024-01-19 14:00:00,2200.00,Dominos Pizza,Food,Chandigarh,Punjab,Online,False,False,CUST013,18-25,0
TXN015,5432,2024-01-19 19:30:00,12000.00,Myntra,Online Shopping,Indore,Madhya Pradesh,Online,False,False,CUST014,26-35,0
TXN016,8765,2024-01-20 07:45:00,500.00,HP Petrol,Fuel,Bhopal,Madhya Pradesh,POS,False,True,CUST015,36-45,0
TXN017,3210,2024-01-20 02:30:00,42000.00,Suspicious Store,Electronics,Patna,Bihar,Online,False,False,CUST016,26-35,1
TXN018,6543,2024-01-20 11:00:00,8900.00,Shoppers Stop,Retail,Kochi,Kerala,POS,False,True,CUST017,36-45,0
